title,genre,aired,episodes,members,popularity,ranked,score
Jewelry The Animation,"['Hentai', 'Romance']",5-Jan-18,1,3110,6956,,6.53
Eromame,['Hentai'],"Dec 19, 2014 to Mar 27, 2015",2,3590,6620,,6.53
Imouto Jiru,['Hentai'],"Nov 25, 2003 to Mar 25, 2004",2,8437,4652,,6.53
Crimson Girls: Chikan Shihai,['Hentai'],"May 25, 2012 to Sep 20, 2015",3,5900,5381,,6.53
Tinderbox,['Hentai'],"Sep 21, 2018 to Nov 30, 2018",2,1956,8035,,6.54
Suika,"['Drama', 'Fantasy', 'Hentai', 'Romance']","Feb 25, 2003 to Jun 25, 2003",3,4515,5994,,6.54
Soredemo Tsuma wo Aishiteru,['Hentai'],"Oct 21, 2011 to Sep 20, 2013",3,6145,5304,,6.54
Shigokare: Ecchi na Joshi Daisei to Doki x2 Love Lesson!! The Animation,['Hentai'],"Oct 25, 2019 to ?",,1142,9258,,6.55
Shishunki Shoujo,"['Hentai', 'School']","Mar 28, 2008 to Jul 25, 2008",2,2880,7100,,6.54
Darling,"['Hentai', 'Comedy']","Feb 18, 2003 to Jun 27, 2003",3,5300,5618,,6.54
Tsun M! Gyutto Shibatte Shidoushite The Animation,['Hentai'],27-Apr-18,1,2033,7935,,6.55
Tsumamigui,['Hentai'],"Jun 27, 2003 to Nov 28, 2003",2,4561,5971,,6.55
Kansen 5: The Daybreak,['Hentai'],"Oct 26, 2012 to Apr 13, 2018",3,5536,5523,,6.55
Injutsu no Yakata The Animation,['Hentai'],1-Aug-14,1,3220,6856,,6.55
Hataraku Otona no Renai Jijou The Animation,['Hentai'],22-Dec-16,1,3684,6510,,6.55
Star☆Jewel,"['Hentai', 'Yuri']",8-Dec-11,1,4402,6051,,6.56
Shinshou Genmukan,['Hentai'],"Mar 20, 2010 to Sep 20, 2010",4,3326,6769,,6.56
Rennyuu Tales The Animation,['Hentai'],30-May-14,1,3213,6857,,6.56
Oppai Infinity∞! The Animation,['Hentai'],31-Jan-14,1,3367,6755,,6.56
Newmanoid Cam: Cam Castin,['Hentai'],19-Apr-10,1,3292,6795,,6.56
Mashou no Nie 3,['Hentai'],"Jun 24, 2016 to Dec 9, 2016",2,4321,6100,,6.56
Lo Re: Pako Sukusuku Mizuki-chan The Animation,['Hentai'],6-May-16,1,4581,5976,,6.56
Kiss Hug,['Hentai'],"Dec 13, 2019 to ?",,641,10532,,6.63
Ikusa Otome Valkyrie G,"['Hentai', 'Supernatural', 'Fantasy']","Jul 20, 2012 to Aug 24, 2012",2,3249,6823,,6.56
Ai Shimai: Futari no Kajitsu,['Hentai'],"Apr 27, 2001 to Sep 21, 2001",3,8601,4616,,6.56
Ryoujoku Famiresu Choukyou Menu,['Hentai'],"Sep 24, 2010 to Dec 24, 2010",2,5399,5576,,6.57
Ai Shimai 2: Futari no Kajitsu,['Hentai'],"Feb 28, 2003 to May 23, 2003",2,6981,5020,,6.57
Shoujo Senki Soul Eater,['Hentai'],24-Sep-10,1,8819,4569,,6.57
Ikusa Otome Suvia,"['Hentai', 'Fantasy']","Dec 22, 2007 to Aug 28, 2009",4,4380,6056,,6.58
Gakuen Shinshoku: XX of the Dead,['Hentai'],"Apr 28, 2017 to Oct 27, 2017",2,2970,7043,,6.58
Unsweet: Netorare Ochita Onna-tachi,"['Hentai', 'School']",19-Oct-12,1,4394,6063,,6.59
Pakomane: Watashi Kyou kara Meimon Yakyuubu no Seishorigakari ni Narimasu... The Animation,['Hentai'],12-Dec-17,1,2626,7328,,6.59
Gakuen 3,['Hentai'],"Mar 18, 2011 to Jul 22, 2011",2,3715,6485,,6.59
Furifure 2,['Hentai'],"Feb 23, 2018 to Sep 28, 2018",4,2541,7402,,6.59
Zoku Koihime,"['Fantasy', 'Harem', 'Hentai', 'Magic', 'Supernatural']","Nov 22, 2001 to Feb 22, 2002",2,2313,7600,,6.6
Creamy Pie,['Hentai'],"Oct 16, 2015 to Dec 11, 2015",2,5109,5719,,6.59
Tsundere Inran Shoujo Sukumi,['Hentai'],"Feb 17, 2012 to Apr 13, 2012",2,6736,5107,,6.6
Ryoujoku Hitozuma Onsen,['Hentai'],"Oct 25, 2005 to Jul 25, 2006",2,3200,6858,,6.6
Mahou Shoujo Elena,"['Hentai', 'Supernatural', 'Magic']","Jul 8, 2011 to Feb 22, 2013",3,5298,5623,,6.6
Taimanin Asagi 3,"['Hentai', 'Demons', 'Supernatural']","Dec 23, 2016 to Feb 24, 2017",2,3751,6470,,6.6
Taimanin Yukikaze,"['Demons', 'Hentai', 'Supernatural']","Nov 29, 2013 to Jan 29, 2016",3,7084,5007,,6.6
Kuro no Kyoushitsu,['Hentai'],"May 29, 2015 to Jul 29, 2016",2,5204,5675,,6.6
Ikusa Otome Valkyrie 2,"['Demons', 'Fantasy', 'Hentai', 'Supernatural']","Sep 26, 2008 to Feb 19, 2011",3,4121,6204,,6.6
Ero Konbini Tenchou,['Hentai'],"Feb 22, 2019 to ?",,1179,9184,,6.6
Spaceship Agga Ruter,"['Comedy', 'Hentai', 'Sci-Fi', 'Space']","Oct 25, 1998 to Apr 25, 1999",4,1727,8270,,6.61
Megachu!,"['Hentai', 'Supernatural']","Jul 25, 2007 to Jan 25, 2008",3,5881,5385,,6.61
Shiiba-san no Ura no Kao. with Imouto Lip,['Hentai'],28-Feb-14,1,3132,6932,,6.61
Love Colon,['Hentai'],"Jul 25, 2014 to Nov 7, 2014",2,3554,6600,,6.61
Yuuwaku,"['Hentai', 'School']","Jul 25, 2003 to Oct 31, 2003",2,4956,5770,,6.62
Dorei Maid Princess,"['Hentai', 'Fantasy']","May 26, 2007 to May 1, 2009",4,4544,5980,,6.62
Bible Black: Imari Ryoujoku Genba,['Hentai'],"Jul 25, 2005 to Apr 25, 2006",1,10473,4254,,6.62
A Kite,"['Action', 'Hentai', 'Police', 'Drama']","Feb 25, 1998 to Oct 25, 1998",2,41025,2150,,6.62
Shion,"['Action', 'Fantasy', 'Hentai', 'Supernatural']","Mar 28, 2008 to Jan 23, 2010",4,3506,6624,,6.63
Natsumushi The Animation,['Hentai'],"Dec 25, 2009 to Mar 26, 2010",2,4622,5927,,6.63
Mahou Shoujo Ai,"['Action', 'Hentai', 'Horror', 'Supernatural']","Aug 25, 2003 to Feb 25, 2005",5,6742,5097,,6.63
Chou Do M na Hentai Mesu-tachi Otokoton Choukyou Itashimasu!,['Hentai'],11-Nov-16,1,1540,8562,,6.63
Vampire,"['Hentai', 'Supernatural', 'Vampire']","Sep 16, 2011 to Jan 20, 2012",2,4156,6192,,6.64
Shoujo Kyouiku,['Hentai'],"May 1, 2015 to Jul 3, 2015",2,5863,5412,,6.64
Mesu Saga: Persona,['Hentai'],19-Jul-13,1,4025,6291,,6.64
Kanpeki Ojousama no Watakushi ga Dogeza de Mazo Ochisuru Choroin na Wakenai desu wa!,['Hentai'],"Jan 25, 2019 to ?",,2312,7601,,6.64
