title,genre,aired,episodes,members,popularity,ranked,score
"Chotto Ugoku!? ""Futeneko""",['Comedy'],26-Sep-12,1,96,15381,11796,5.67
Chokkan × Algorhythm♪ 2nd Season,"['Music', 'Comedy']","Oct 8, 2018 to Feb 11, 2019",17,297,12152,11795,6.06
Chokkan × Algorhythm♪,"['Music', 'Comedy']","Aug 17, 2017 to Oct 5, 2017",8,197,13456,11794,6
Chokin no Susume,['Comedy'],7-Oct-17,1,232,12923,11793,6.57
Chogattai Majutsu Robot Ginguiser Specials,"['Adventure', 'Mecha', 'Sci-Fi']",27-Mar-09,2,216,13167,11792,5.64
Chobitto Zukan,"['Fantasy', 'Kids']","Jul 7, 2016 to Jun 29, 2017",52,182,13719,11791,5.21
Chirorin Mura Monogatari: Tomkurupii no Jishin Youjin,"['Drama', 'Kids']",Not available,1,85,15628,11790,6.71
Chiro-wa Chingu-deul,"['Adventure', 'Kids']","Aug 27, 2007 to ?",52,60,16037,11789,5.5
Chiro no Ki Ookiku Naare,['Kids'],1982,1,40,16213,11788,6.14
Chinyuuki: Tarou to Yukai na Nakama-tachi,['Comedy'],"Jun 12, 2009 to Aug 7, 2009",3,315,12011,11787,5.76
Chinsetsu Yoshida Goten,[],27-Apr-28,1,88,15576,11786,4.64
Chingou Muchabee,"['Adventure', 'Comedy']","Feb 15, 1971 to Mar 22, 1971",26,199,13424,11785,6.3
Chikyuu wo Mitsumete,"['Space', 'Sci-Fi']",2011,1,158,14187,11784,6.12
Chikyuu wa Guruguru Merry-Go-Round,"['Kids', 'Space']",2017,1,96,15408,11783,7.06
Chikyuu to no Yakusoku,['Kids'],"Apr, 2018",1,91,15510,11782,6.67
Chikyuu SOS: Chikyuu ga Netsu wo Dashite Iru,['Kids'],Not available,1,39,16232,11781,5.71
Chikin Ramen x Gudetama,"['Comedy', 'Kids']","Apr 2, 2019 to ?",,373,11654,11776,4.55
Chikkun Takkun,"['Comedy', 'Sci-Fi']","Apr 9, 1984 to Sep 28, 1984",23,307,12126,11777,5.76
Chikasugi Idol Akae-chan Specials,"['Comedy', 'Game', 'Parody']",16-Jul-14,3,59,16051,11775,4.73
Chikasugi Idol Akae-chan,"['Comedy', 'Game', 'Parody']","Jan 7, 2014 to Apr 1, 2014",12,231,12899,11774,4.76
Chikai,['Slice of Life'],18-Aug-19,1,90,15627,11773,5.79
Chiisana Tegami,"['Music', 'Kids']",3-Aug-00,1,98,15337,11772,4.27
Chiisana Love Letter: Mariko to Nemunoki no Kodomo-tachi,"['Music', 'School', 'Drama']",22-Dec-81,1,186,13642,11771,5.61
Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon,"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']",31-Jul-99,1,227,12963,11770,5.29
Chiisana Kinomi,"['Music', 'Kids']",5-Oct-83,1,73,15837,11768,4.67
Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,"['Romance', 'Slice of Life', 'Shoujo']",20-Mar-84,1,212,13180,11769,5.68
Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi,"['Fantasy', 'Military', 'Kids']",14-Aug-04,1,150,14334,11767,6.15
Chiisai Aki Mitsuketa (1982),"['Music', 'Kids']",6-Oct-82,1,93,15451,11766,4.29
Chii-chan to Hige Ojisan,"['Slice of Life', 'Kids']","Jun 21, 2004 to Apr 21, 2010",10,137,14558,11764,5.59
Chii-chan no Kageokuri,"['Drama', 'Historical']",Not available,1,99,15336,11763,4.67
Chii Jiaan Chuaanqii,"['Action', 'Adventure', 'Fantasy']",Not available,26,147,14375,11762,5.95
Chichi to Ko,['Drama'],1998,1,121,14893,11759,5.81
Chieri to Cherry,"['Adventure', 'Fantasy', 'Shoujo']",20-Feb-16,1,332,11904,11761,6.4
Teekyuu 9,"['Comedy', 'Sports']","Jul 12, 2017 to Sep 27, 2017",12,9280,4484,5308,6.66
Chichi Kaeru,['Drama'],12-Jun-15,1,134,14623,11758,4.33
Chie-chan Funsenki: Jarinko Chie,"['Slice of Life', 'Comedy', 'Drama', 'Seinen']","Oct 19, 1991 to Sep 22, 1992",39,281,12305,11760,7.06
Tenkuu Senki Shurato: Sousei e no Anto,"['Action', 'Fantasy', 'Magic', 'Shounen']","Sep 16, 1991 to Mar 16, 1992",6,1400,8796,5309,6.66
Takara-sagashi,"['Adventure', 'Fantasy', 'Kids']",4-Jun-11,1,1092,9341,5307,6.66
Sword Art Online: Alicization - War of Underworld Reflection,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",6-Oct-19,1,23440,2953,5306,6.67
Chibinacs 3,['Comedy'],"Jun 3, 2008 to Nov 18, 2008",25,124,14805,11757,5.12
Souryuuden,"['Mystery', 'Super Power', 'Supernatural', 'Drama']","Jun 25, 1991 to Mar 10, 1993",12,2190,7737,5305,6.66
Chibinacs,['Comedy'],"Apr 13, 2006 to Sep 28, 2006",25,116,14966,11755,5.73
Chibikuro Sambo to Futago no Otouto,['Kids'],"Mar, 1957",1,152,14294,11754,6.73
SKET Dance: SD Character Flash Anime,"['Comedy', 'School', 'Shounen']","Mar 7, 2011 to Oct 14, 2011",16,2819,7152,5304,6.66
Chibikuro Sambo no Tora Taiji,['Kids'],"Nov, 1956",1,171,13922,11753,6.76
Chibikko Kamu no Bouken,"['Adventure', 'Kids']",15-Sep-76,1,123,14827,11752,6.35
Shadow Skill (1996),"['Adventure', 'Drama', 'Fantasy', 'Shounen']","Sep 21, 1996 to Nov 21, 1996",3,4154,6185,5303,6.66
Shadow Skill,"['Adventure', 'Drama', 'Fantasy', 'Shounen']",25-Oct-95,1,4316,6091,5302,6.66
Ranpo Kitan: Game of Laplace,['Mystery'],"Jul 3, 2015 to Sep 18, 2015",11,92293,1178,5301,6.66
Chibikko Kaijuu Yadamon,"['Comedy', 'Kids', 'Supernatural']","Oct 2, 1967 to Mar 25, 1968",26,250,12634,11751,5.86
M3: Sono Kuroki Hagane,"['Action', 'Sci-Fi', 'Mystery', 'Psychological', 'Drama', 'Mecha']","Apr 22, 2014 to Sep 30, 2014",24,48768,1932,5294,6.66
Koukyoushihen Eureka Seven: New Order,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",6-Apr-12,1,8135,4728,5293,6.66
Chibikko Cowboy,"['Music', 'Kids']",25-Aug-66,1,98,15380,11750,3.88
Nagagutsu wo Haita Neko no Bouken,"['Adventure', 'Fantasy']","Apr 1, 1992 to Sep 23, 1992",26,581,10655,5295,6.66
Koukaku Kidoutai: Shin Movie Virtual Reality Diver,"['Sci-Fi', 'Police', 'Seinen']",30-Jun-16,1,3920,6338,5292,6.66
Chibi Neko Tomu no Daibouken: Chikyuu wo Sukue! Nakama-tachi,"['Adventure', 'Kids']",1992,1,188,13587,11749,6.35
Kidou Keisatsu Patlabor: Reboot,"['Sci-Fi', 'Comedy', 'Police', 'Mecha']",15-Oct-16,1,4258,6133,5291,6.66
Chibi Neko Chobi/Chibi Neko Kobi to Tomodachi,['Kids'],8-Dec-06,1,126,14773,11748,6.47
Ketsuekigata-kun!,['Comedy'],"Apr 7, 2013 to Jun 23, 2013",12,8553,4629,5290,6.66
Kemeko Deluxe!,"['Action', 'Comedy', 'Ecchi', 'Romance', 'School', 'Sci-Fi', 'Shounen']","Oct 5, 2008 to Dec 21, 2008",12,33500,2407,5289,6.66
Chibi Maruko-chan: Hi no Youjin,"['Drama', 'Kids']",Not available,1,149,14333,11746,6
Chibi Maruko-chan no Konna Nori Kata Abunai yo,['Kids'],1999,1,76,15789,11744,5.93
Chibi Airin no Yuruyaka na Nichijou,"['Slice of Life', 'Comedy']","Apr 16, 2018 to Sep 28, 2018",24,126,14786,11742,6.09
Chi-Sui Maru Specials,['Comedy'],21-Sep-11,2,167,13986,11741,5.22
Chi-Sui Maru 2nd Season,['Comedy'],"Jan 15, 2011 to Sep 24, 2011",34,223,13003,11740,4.92
Chi-Sui Maru,['Comedy'],"Feb 6, 2010 to Nov 26, 2010",41,338,11856,11739,5.45
Cherry Blossom,"['Drama', 'Kids']",Not available,1,151,14293,11738,6.18
Chein Kuro-Nikuru!! Kanketsu-hen,"['Comedy', 'Parody']",23-Jun-17,1,236,12824,11736,4.93
Chel-in sacheon-wang,"['Action', 'Sci-Fi']",13-Feb-99,1,141,14515,11737,5
Charanpo Land no Bouken,[],11-Mar-17,1,363,11717,11735,5.73
Chara to Otamajakushi Shima,"['Adventure', 'Kids', 'Fantasy']","Apr 2, 2018 to Jan 28, 2019",40,113,14997,11733,8
Chao Wa Zhanshi: Weiwu Jiaoguan,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']",1-Jun-12,1,77,15772,11732,5.4
Chao Wa Zhanshi,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']",1-Jun-10,1,87,15604,11731,5.14
Chamebou Kuukijuu no Maki,['Comedy'],11-Aug-17,1,215,13134,11725,6.5
Challenge Ichinensei de Kakkoii Ichinensei ni Henshin!,['Kids'],"Feb 10, 2008 to Feb 11, 2008",1,261,12508,11724,5.68
Chalk-iro no People,"['Romance', 'Seinen']",5-Oct-88,1,206,13283,11723,6.09
Chaechaepong Kimchi Pong,"['Adventure', 'Kids', 'Fantasy']","Aug 9, 2002 to Feb 28, 2003",26,57,16076,11722,6.3
Catchy-kun no Nice Catch!,['Comedy'],"Jul 7, 2017 to Sep 29, 2017",13,191,13528,11721,5.17
Catch: Tsugi no Natsu ga Kuru You ni,"['Music', 'Kids']",3-Aug-93,1,91,15489,11720,4.34
Cat's Eye Love,"['Music', 'Kids']",1-Feb-78,1,101,15269,11719,4.21
Cat Step,['Music'],3-Feb-19,1,79,15771,11718,4.74
Carry Me Off feat. Hatsune Miku,['Music'],21-Aug-14,1,72,15976,11717,5.58
Carino Coni,"['Fantasy', 'Kids']","Apr 2, 2014 to Oct 1, 2014",26,193,13495,11716,6.22
Caribadix 2nd Season,"['Music', 'Comedy']","Apr 1, 2018 to Jan 6, 2019",39,190,13550,11715,5.25
"Caribadix ""Renai Revolution 21"" Cover MV",['Music'],7-Oct-18,1,93,15450,11714,3.82
Caribadix,"['Music', 'Comedy']","May 7, 2017 to Mar 25, 2018",46,297,12181,11713,5.41
Captain Movie,"['Sports', 'Shounen']",4-Jul-81,1,242,12759,11712,6.34
Captain,"['Sports', 'Shounen']",2-Apr-80,1,250,12659,11710,6.24
Capsule Samurai,"['Comedy', 'Music', 'Samurai']",2004 to 2005,40,99,15311,11709,5.04
Capsule Boy 2: Ujuleul Jikyeola,"['Sci-Fi', 'Kids']","Jan 12, 2019 to Jul 6, 2019",26,75,15824,11708,4.29
Capsule Boy,"['Sci-Fi', 'Kids']","May 15, 2016 to Dec 2, 2016",26,111,15104,11707,5.8
Candy no Yume,"['Music', 'Kids']",2-Dec-78,1,113,15027,11706,4.47
Caligula (Music),['Music'],27-May-12,1,102,15285,11705,4.91
Calbee Hitokuchi Gekijou,"['Comedy', 'Slice of Life']","Aug 11, 2014 to Sep 10, 2015",18,124,14826,11703,4.81
Calicula Machine,['Dementia'],1974,1,77,15808,11704,4.43
Cake Sushi,['Comedy'],"Oct 14, 2015 to Nov 30, 2015",2,105,15212,11701,4.52
Byulbyul Iyagi 2,"['Psychological', 'Drama']",17-Apr-08,6,215,13132,11700,5.29
Butten Monogatari,['Historical'],"Mar 1, 1986 to Feb 1, 1990",12,95,15406,11699,6.43
Butazuka,['Slice of Life'],2005,13,111,15063,11698,5.27
Bussouna Yoru,['Music'],9-Mar-16,1,86,15603,11697,4.7
Burutabu-chan,"['Comedy', 'Fantasy', 'Magic']",Not available,,133,14622,11696,5.03
Burning Village,"['Fantasy', 'Horror']","May 1, 1989 to Feb 1, 1990",10,248,12670,11695,6.06
Buppu na Mainichi,['Comedy'],"Mar 11, 2017 to Sep 9, 2017",27,275,12387,11694,5.81
Bunna yo Ki kara Orite Koi,"['Adventure', 'Kids']",21-Mar-87,1,130,14699,11692,6.43
Bunbuku Chagama,['Kids'],"Jul, 1928",1,233,12879,11691,5.84
Bumblebee Hajimete no Chikyuu Seikatsu,"['Comedy', 'Mecha', 'Parody', 'Sci-Fi']","Mar 20, 2019 to ?",,79,15730,11690,2.5
Bug tte Honey,"['Adventure', 'Comedy']","Oct 3, 1986 to Sep 25, 1987",51,312,12050,11688,6.17
Bug,['Dementia'],"Mar 31, 2019 to Apr 1, 2019",4,109,15211,11687,3.69
Bucchigiri,['Sports'],"Oct 27, 1989 to Mar 25, 1991",4,380,11617,11685,5.76
Bubble Bath,"['Music', 'Kids']",2-Dec-01,1,99,15310,11684,4.56
Bubaga,"['Kids', 'Adventure']","May 5, 1995 to Jan 8, 1997",8,133,14621,11683,5.81
Broadcast by Bibby,['Comedy'],"May 31, 2019 to ?",,74,15823,11682,7.75
Boy General,"['Action', 'Drama', 'Historical', 'Military']",1982 to 1997,50,30,16308,11681,4.5
Bug tte Honey: Megarom Shoujo Mai 4622,"['Adventure', 'Comedy']",21-Jul-87,1,196,13438,11689,5.39
Buonomo,['Slice of Life'],2005 to 2006,13,132,14677,11693,5.26
Bucket de Gohan,['Comedy'],"Jan 8, 1996 to Jun 24, 1996",20,225,12962,11686,5.89
Cakes,['Comedy'],9-May-16,1,216,13133,11702,4.17
Chibi Gojira,['Kids'],"Dec 12, 2018 to ?",,96,15407,11743,4.09
Charamaru-kun to Dokumaru-kun,"['Kids', 'Super Power']",Not available,1,104,15213,11734,6.75
Chibi Maruko-chan no Koutsuu Anzen,['Kids'],1997,1,79,15731,11745,6.31
Chibinacs 2.0,['Comedy'],"Apr 14, 2007 to Oct 13, 2007",25,115,14982,11756,5.25
Chibi Maruko-chan: Jishin wo Kangaeru,"['Drama', 'Kids']",Not available,1,138,14536,11747,5.91
Chiisai Aki Mitsuketa,"['Music', 'Kids']","Oct, 1972",1,91,15490,11765,3.91
Dandy Hitsuji Shitsuji,"['Music', 'Kids']",1-Aug-17,1,79,15732,11868,4.51
Deluxe Da yo! Kaishain,['Comedy'],"Jul 19, 2019 to ?",,92,15473,11882,3.71
Dennou Senshi Dokan-kun,['Comedy'],"Jan 15, 2007 to Mar 26, 2007",11,91,15492,11884,6.43
Karate Baka Ichidai,"['Adventure', 'Historical', 'Sports', 'Martial Arts']","Oct 3, 1973 to Sep 25, 1974",47,710,10209,5288,6.66
Ikkitousen: Xtreme Xecutor Specials,"['Comedy', 'Ecchi']","Jun 25, 2010 to Nov 25, 2010",6,11037,4159,5286,6.66
Kage kara Mamoru!,"['Comedy', 'Romance', 'Shounen']","Jan 8, 2006 to Mar 26, 2006",12,21259,3090,5287,6.66
Dennou Sentai Voogie's★Angel Gaiden: Susume! Super★Angels!,"['Action', 'Comedy', 'Mecha', 'Parody', 'Sci-Fi']","Aug 21, 1998 to Sep 19, 1998",2,246,12712,11885,5.39
Hyakka Ryouran: Samurai Bride Specials,"['Ecchi', 'Comedy']","Jun 26, 2013 to Nov 27, 2013",6,9835,4378,5284,6.66
IGPX: Immortal Grand Prix,"['Sports', 'Mecha', 'Sci-Fi', 'Shounen']","Sep 15, 2003 to Sep 19, 2003",5,3252,6817,5285,6.66
Honoo no Mirage,"['Action', 'Historical', 'Supernatural', 'Drama', 'Romance', 'School', 'Shounen Ai']","Jan 7, 2002 to Apr 8, 2002",13,17211,3443,5283,6.66
Din Dong Specials,"['Comedy', 'Parody']","Feb 24, 2010 to Nov 21, 2011",5,68,15916,11893,5.46
Gegege no Kitarou (1985),"['Comedy', 'Supernatural']","Oct 12, 1985 to Feb 6, 1988",108,1405,8786,5280,6.66
Hakugei Densetsu,"['Sci-Fi', 'Adventure', 'Space']","Apr 9, 1997 to May 12, 1999",26,2583,7342,5282,6.66
Dochamon Junior 2,"['Comedy', 'Kids']","Oct 10, 2016 to Feb 27, 2017",16,153,14271,11897,6.07
Girls & Panzer Heartful Tank Disc Picture Drama,"['Military', 'School']",25-Sep-13,4,4012,6289,5281,6.66
Fuuka,"['Drama', 'Ecchi', 'Music', 'Romance', 'School', 'Shounen']","Jan 6, 2017 to Mar 24, 2017",12,175773,621,5278,6.66
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,"['Action', 'Adventure', 'Magic', 'Fantasy', 'Shounen']",7-Mar-92,1,1253,9043,5277,6.66
Fuuma no Kojirou: Seiken Sensou-hen,"['Action', 'Martial Arts', 'Fantasy', 'Shounen']","Sep 21, 1990 to Dec 1, 1990",6,1163,9203,5279,6.66
Doctor Mambo & Kaitou Jibako: Uchuu yori Ai wo Komete!!,"['Adventure', 'Fantasy', 'Kids', 'Mystery', 'Sci-Fi']",12-Sep-83,1,137,14581,11898,6.11
Doraemon: Time Machine de Oshougatsu,"['Sci-Fi', 'Adventure', 'Comedy', 'Kids', 'Shounen']",1-Jan-80,1,882,9780,5276,6.66
Doraemon: Ganbare! Gian!!,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",10-Mar-01,1,920,9689,5275,6.66
Dokachin,"['Comedy', 'Kids']","Oct 2, 1968 to Mar 26, 1969",26,188,13626,11902,5.54
Dokidoki Gakuen Kessen!! Youki Daimashiro,"['Action', 'Magic', 'Fantasy']",20-Sep-88,1,224,13005,11905,4.78
Dolittle-sensei Monogatari,"['Kids', 'Adventure']","Dec 24, 1997 to Apr 1, 1998",13,149,14336,11910,6
Dolphin Ouji,"['Action', 'Adventure', 'Kids', 'Sci-Fi']","Apr 4, 1965 to Apr 18, 1965",3,251,12612,11911,5.23
Dokgotak: Taeyang-eul Hyanghae Deonjyeola,['Sports'],1983,1,146,14395,11904,5.54
D.C.III: Da Capo III,"['Ecchi', 'Romance', 'School', 'Drama']","Jan 5, 2013 to Mar 30, 2013",13,22998,2982,5274,6.66
Dokgotak Dasi Chajeun Maundeu,"['Shounen', 'Sports']",13-Aug-85,1,163,14057,11903,5.57
Bokutachi wa Benkyou ga Dekinai OVA,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']","Nov 1, 2019 to Apr 3, 2020",2,23260,2966,1688,7.51
Don't Worry: Monotarinai Monogatari,['Music'],25-Nov-17,1,86,15629,11913,4.94
Boku wa Tomodachi ga Sukunai Next,"['Harem', 'Slice of Life', 'Comedy', 'Romance', 'School']","Jan 11, 2013 to Mar 29, 2013",12,351660,268,1687,7.51
Brave Story,"['Action', 'Adventure', 'Fantasy', 'Kids', 'Magic', 'Supernatural']",8-Jul-06,1,33779,2392,1689,7.51
B: The Beginning,"['Action', 'Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']",2-Mar-18,12,155265,721,1686,7.51
Don: Gokudou Suikoden,['Drama'],"Jul 1, 1992 to Sep 9, 1992",2,265,12488,11915,6.06
Donkikko,"['Comedy', 'Shounen']","Sep 7, 1967 to Jan 25, 1968",21,200,13407,11920,5.07
Ayakashi: Japanese Classic Horror,"['Mystery', 'Historical', 'Horror', 'Fantasy']","Jan 13, 2006 to Mar 24, 2006",11,49408,1908,1685,7.51
Blood-C,"['Action', 'Mystery', 'Horror', 'Supernatural', 'Vampire', 'School']","Jul 8, 2011 to Sep 30, 2011",12,196530,548,5273,6.66
Asobi Asobase OVA,"['Comedy', 'Drama', 'School']",26-Dec-18,1,19512,3248,1684,7.51
Ai no Wakakusa Monogatari,"['Drama', 'Historical', 'Slice of Life']","Jan 11, 1987 to Dec 27, 1987",48,5421,5560,1683,7.51
Yuusha Keisatsu J-Decker,"['Action', 'Adventure', 'Police', 'Mecha', 'Sci-Fi']","Feb 5, 1994 to Jan 28, 1995",48,2090,7861,1682,7.52
Shugo Chara!,"['Comedy', 'Magic', 'School', 'Shoujo']","Oct 6, 2007 to Sep 27, 2008",51,160571,689,1680,7.52
"Tokyo Ghoul: ""Jack""","['Action', 'Drama', 'Horror', 'School', 'Seinen', 'Supernatural']",30-Sep-15,1,144787,770,1681,7.52
Dot Bit Retro: Boku Dake no Kusogee,"['Slice of Life', 'Comedy', 'Fantasy']","Jul 20, 2018 to ?",,100,15286,11926,7.71
Dosukoi! Wanpaku Dohyou,"['Drama', 'Sports']",21-May-94,1,147,14377,11924,6.11
Shinryaku! Ika Musume,"['Comedy', 'Shounen', 'Slice of Life']","Oct 5, 2010 to Dec 21, 2010",12,138888,799,1679,7.52
Area 88 Movie,"['Action', 'Military', 'Adventure', 'Drama', 'Romance']",20-Jul-85,1,912,9714,5271,6.66
Doushitemo Eto ni Hairitai,['Comedy'],"Oct 11, 2015 to Jan 10, 2016",13,290,12230,11936,6.31
Shingeki no Bahamut: Virgin Soul,"['Action', 'Adventure', 'Demons', 'Supernatural', 'Magic', 'Fantasy']","Apr 8, 2017 to Sep 30, 2017",24,157119,710,1678,7.52
Senki Zesshou Symphogear G,"['Action', 'Music', 'Sci-Fi']","Jul 5, 2013 to Sep 27, 2013",13,42926,2088,1677,7.52
Anime de Wakaru Shinryounaika,"['Comedy', 'Seinen']","Feb 13, 2015 to Jun 26, 2015",20,31811,2482,5270,6.66
Douwa Mondai to Jinken: Anata wa Dou Kangaemasuka,['Drama'],2009,1,94,15436,11937,7.72
Dragon Egg,"['Action', 'Sci-Fi', 'Kids']","Nov 6, 2017 to Apr 25, 2019",52,194,13496,11940,4.92
Patalliro!,"['Adventure', 'Comedy', 'Romance', 'Shoujo', 'Shounen Ai']","Apr 9, 1982 to May 13, 1983",49,4570,5954,1675,7.52
dwarf Movie Lab,['Kids'],2-May-14,13,138,14537,11945,4.37
Dr. Typhoon,"['Drama', 'Seinen', 'Sports']",3-Apr-91,1,205,13313,11939,6.64
Mugen no Ryvius,"['Drama', 'Mecha', 'Military', 'Psychological', 'Sci-Fi', 'Space']","Oct 6, 1999 to Mar 29, 2000",26,32989,2431,1674,7.52
Ekimemo!,['Game'],"Jan 31, 2018 to Feb 14, 2018",3,227,12975,11966,5.17
Eunhahamdae Jiguho,"['Action', 'Kids', 'Adventure', 'Space', 'Sci-Fi']",22-Jul-79,1,171,13904,11982,5.04
Form of Stress,['Mecha'],1992,1,122,14849,12002,5.7
Fuku-chan no Zousan Butai,"['Comedy', 'Historical']",1-Jul-43,1,211,13230,12013,5.97
Furidashita Ame,['Kids'],Not available,1,83,15678,12019,5.71
Furusato no Gogatsu,"['Kids', 'Music']",4-Apr-95,1,28,16311,12022,5
Fushouji no Mizen Boushi: Saihatsu Boushi Series,['Drama'],25-Mar-15,2,41,16215,12031,6.2
Fuusen Inu Tinny: Nandaka Fushigi na - Kyouryuu no Kuni,"['Adventure', 'Kids']",25-Aug-17,1,136,14595,12038,5.19
Fuwafuwa Hour: Pui Pui & Muu Muu,"['Kids', 'Fantasy']","Jul 12, 2017 to ?",,121,14896,12043,5.42
Gakuen Senki Muryou: Yorinuki Muryou-san Girls Selection,"['Sci-Fi', 'Adventure', 'Mecha']",26-Jan-02,1,87,15579,12054,6.25
Gakkyuu Ou Yamazaki Specials,['Comedy'],"Mar 30, 1998 to Sep 28, 1998",2,126,14775,12052,6.36
Ganba! Fly High,"['Action', 'Sports', 'Shounen']",Not available,1,109,15168,12061,4.53
Ganbare Goemon: Chikyuu Kyuushutsu Daisakusen,"['Comedy', 'Shounen']",21-Nov-98,1,217,13085,12062,6.07
Gaki Deka (OVA),"['Comedy', 'Ecchi', 'Kids', 'Parody', 'Shounen']",24-Nov-89,3,160,14110,12049,5.28
Ganbare! Bokura no Hit and Run,"['School', 'Sports']",18-Feb-79,1,202,13329,12065,5.53
Ganbare! Lulu Lolo 2nd Season,"['Kids', 'Slice of Life']","Sep 25, 2014 to Mar 26, 2015",26,200,13388,12069,4.93
Ganbare! Lulu Lolo,"['Kids', 'Slice of Life']","Jan 17, 2013 to Feb 21, 2013",26,244,12737,12068,5.23
Ganbare! Lulu Lolo 3rd Season,"['Kids', 'Slice of Life']","Jan 21, 2016 to Mar 24, 2016",10,206,13287,12070,6.41
Gararin to Gororin,"['Music', 'Kids']",15-Feb-06,1,133,14625,12081,4.17
Garon,['Sci-Fi'],27-Apr-13,1,409,11442,12082,6.16
Geisters Movie: Hikari no Shou,"['Action', 'Military', 'Sci-Fi']",17-Aug-02,1,135,14609,12086,4.53
Gekikara Gag Gekijou: Tabasco Shower,"['Ecchi', 'Comedy']",1-May-92,2,191,13555,12088,5.38
Gekisou! Rubenkaiser,"['Cars', 'Shounen', 'Sports']","Oct 10, 1977 to Feb 6, 1978",17,294,12208,12089,6.4
Genbanojou,[],11-Mar-17,1,764,10067,12091,6.32
Genji Fantasy: Neko ga Hikaru Genji ni Koi wo Shita,"['Fantasy', 'Historical', 'Romance']",2-Apr-19,1,363,11730,12092,5.91
Genki Genki Non-tan,"['Kids', 'Music']","Nov 4, 2002 to Dec 4, 2002",15,156,14188,12094,5.45
Girls Jockey,['Sports'],10-Mar-19,1,171,13967,12112,5.09
Go! Go! Atom,"['Action', 'Adventure', 'Drama', 'Kids', 'Mecha', 'Sci-Fi']","Oct 3, 2019 to ?",52,278,12350,12119,5
Genki Genki Non-tan (2006),"['Kids', 'Music']","Oct 2, 2006 to Oct 13, 2006",10,141,14473,12096,5.62
Goman-hiki,['Kids'],1962 to 1965,100,160,14126,12136,5.4
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars Special,"['Drama', 'Fantasy', 'Mystery']",23-Feb-07,1,184,13702,12111,5.87
Golden★Kids,"['Sports', 'School']",21-Jan-11,2,265,12480,12135,4.6
Gomennasai,"['Music', 'Kids']",1-Oct-70,1,88,15554,12140,4.72
Gongnyong Baengmannyeon Ttori,"['Action', 'Adventure', 'Shounen']",1981,1,146,14397,12142,4.7
GUNbare! Game Tengoku: The Game Paradise 2,"['Action', 'Adventure', 'Comedy']",19-Mar-98,1,199,13425,12159,5.31
Hai! Akko Desu: Minna no Koutsuu Anzen,['Kids'],1991,1,50,16144,12172,6.6
Haishin Yuusha,"['Comedy', 'Fantasy', 'Shounen']","Dec 27, 2019 to Jan 17, 2020",12,315,12012,12174,5.75
Hajimete no Christmas,['Kids'],24-Dec-83,1,153,14251,12176,6.14
Hakkiri Kotowarou: Yuukai Sare Nai zo!,"['Drama', 'Kids']",1997,1,70,15890,12179,6.47
Goi-sensei to Tarou,"['Drama', 'Kids', 'School']",2005,1,153,14250,12130,6.44
Hasu no Yousei: Bonyo Bonyo,"['Kids', 'Fantasy']",24-Aug-98,1,115,14987,12230,6.39
Hashire John,['Drama'],1997,1,69,15902,12229,7.7
Haruniwa Ie no 3 Nin-me,"['Slice of Life', 'Comedy', 'Supernatural']","Jan 23, 1998 to Mar 26, 1998",45,145,14410,12226,6.55
High & Low: G-Sword (Movie),['Parody'],"Aug 14, 2017 to Nov 11, 2017",5,85,15681,12280,6.33
Higan,['Music'],2012,1,66,15980,12278,4.63
Hidari no O'Clock!!,['Drama'],5-Feb-90,2,275,12402,12277,6.11
Hi no Tori: Reimei-hen,"['Adventure', 'Historical', 'Drama', 'Fantasy']",19-Aug-78,1,286,12297,12274,6.53
Hibakusha kara no Tegami,"['Historical', 'Drama']",4-Aug-17,3,101,15386,12275,6.14
Hong Mao Lan Tu: Ao You Guo Lixian Ji,['Kids'],"Mar 18, 2013 to Jun 6, 2013",48,36,16271,12326,5.22
Hong Mao Lan Tu: A Muxing,['Kids'],"Jul, 2007 to ?",30,40,16246,12325,5.6
Hong Kil-dong,"['Adventure', 'Fantasy', 'Historical']",21-Jan-67,1,210,13216,12324,4.79
Hong Mao Lan Tu: Chuang Taikong,['Kids'],2005,11,39,16247,12327,5.33
Hong Haier: Juezhan Huoyanshan,"['Action', 'Adventure', 'Comedy', 'Demons', 'Fantasy']",5-Aug-05,1,146,14411,12323,5.71
Hong Gil Dong 2084,"['Action', 'Adventure']",18-Aug-11,1,124,14807,12322,5.41
Holiday Love: Fuufukan Renai,"['Drama', 'Romance']","Aug 3, 2018 to Nov 2, 2018",20,750,10117,12321,6.25
